key,title,chart_type,chart_id,uuid,view_link,edit_link,iframe_embed,inject_embed
Figure 1.2,Self-driven/distrusting young men are most likely to have felt pressure to conform.,column,622323,hVBJTwS_u,https://app.everviz.com/chart/hVBJTwS_u,https://app.everviz.com/edit/622323?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/hVBJTwS_u"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/hVBJTwS_u""></script>"
Figure 1.3,Most young men believe women have unrealistic expectations.,column,622324,6WCN-LUj5,https://app.everviz.com/chart/6WCN-LUj5,https://app.everviz.com/edit/622324?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/6WCN-LUj5"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/6WCN-LUj5""></script>"
Figure 1.4,"Most young men believe it is becoming more difficult to succeed, but they also believe men are lazier today.",column,622325,FBkUzFX63,https://app.everviz.com/chart/FBkUzFX63,https://app.everviz.com/edit/622325?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/FBkUzFX63"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/FBkUzFX63""></script>"
Figure 1.5,Being the sole provider is an important element of success for most young men.,bar,622326,6T8h0uMqKW,https://app.everviz.com/chart/6T8h0uMqKW,https://app.everviz.com/edit/622326?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/6T8h0uMqKW"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/6T8h0uMqKW""></script>"
Figure 1.6,Young men are less likely than young women and older men to agree with equal opportunity and equal pay.,column,622327,5-mfsiBGi,https://app.everviz.com/chart/5-mfsiBGi,https://app.everviz.com/edit/622327?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/5-mfsiBGi"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/5-mfsiBGi""></script>"
Figure 1.7,Ninety percent of relational/distrusting young men agree with equal opportunity and equal pay. Fewer self-driven/trusting young men agree.,column,622328,WSTohbjFEr,https://app.everviz.com/chart/WSTohbjFEr,https://app.everviz.com/edit/622328?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/WSTohbjFEr"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/WSTohbjFEr""></script>"
Figure 1.8,More young men say social media influences their views on what it means to be a man than teachers or professors and sports or extracurricular coaches.,bar,622329,kdNKvQMG8,https://app.everviz.com/chart/kdNKvQMG8,https://app.everviz.com/edit/622329?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/kdNKvQMG8"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/kdNKvQMG8""></script>"
Figure 1.9,More relational/trusting than self-driven/distrusting young men turned to their fathers as influential in understanding what it means to be a man.,bar,622330,KWHhsLNZP-,https://app.everviz.com/chart/KWHhsLNZP-,https://app.everviz.com/edit/622330?editor=&panel=chart_customize&type=bar_chart,"<iframe src=""https://app.everviz.com/embed/KWHhsLNZP-"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/KWHhsLNZP-""></script>"
Figure 2.1,Many young men believe college is a questionable investment.,column,622331,XuPVZ7d-9,https://app.everviz.com/chart/XuPVZ7d-9,https://app.everviz.com/edit/622331?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/XuPVZ7d-9"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/XuPVZ7d-9""></script>"
Figure2.2,Many young men believe colleges do not align with workplace needs.,column,622332,0oGd3cNPyc,https://app.everviz.com/chart/0oGd3cNPyc,https://app.everviz.com/edit/622332?editor=&panel=chart_customize&type=column_chart,"<iframe src=""https://app.everviz.com/embed/0oGd3cNPyc"" style=""width:100%;height:500px;border:0;"" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<script src=""https://app.everviz.com/inject/0oGd3cNPyc""></script>"
