section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
Alienated and (Dis)Engaged,Q31_1,Politicians don’t care what people like me think,,,Strongly agree,29,27,30,31,31,22,50,16,53
Alienated and (Dis)Engaged,Q31_1,Politicians don’t care what people like me think,,,Agree,34,35,35,34,39,27,50,33,47
Alienated and (Dis)Engaged,Q31_1,Politicians don’t care what people like me think,,,Neither agree nor disagree,23,22,25,23,15,29,0,30,0
Alienated and (Dis)Engaged,Q31_1,Politicians don’t care what people like me think,,,Disagree,9,9,7,8,11,13,0,12,0
Alienated and (Dis)Engaged,Q31_1,Politicians don’t care what people like me think,,,Strongly disagree,3,3,2,3,3,4,0,5,0
Alienated and (Dis)Engaged,Q31_1,Politicians don’t care what people like me think,,,Don't know,2,2,2,1,,5,0,4,0
Alienated and (Dis)Engaged,Q31_2,Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party,,,Strongly agree,35,28,28,32,43,18,57,20,49
Alienated and (Dis)Engaged,Q31_2,Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party,,,Agree,33,30,31,36,36,23,43,24,51
Alienated and (Dis)Engaged,Q31_2,Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party,,,Neither agree nor disagree,21,27,26,23,15,33,0,38,0
Alienated and (Dis)Engaged,Q31_2,Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party,,,Disagree,5,8,5,5,3,12,0,11,0
Alienated and (Dis)Engaged,Q31_2,Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party,,,Strongly disagree,3,3,3,2,2,4,0,4,0
Alienated and (Dis)Engaged,Q31_2,Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party,,,Don't know,3,5,7,2,1,10,0,4,0
Alienated and (Dis)Engaged,Q31_3,It is important to vote in local elections,,,Strongly agree,50,32,37,43,60,33,30,27,43
Alienated and (Dis)Engaged,Q31_3,It is important to vote in local elections,,,Agree,29,34,32,30,28,32,43,34,34
Alienated and (Dis)Engaged,Q31_3,It is important to vote in local elections,,,Neither agree nor disagree,14,22,20,16,7,18,20,28,16
Alienated and (Dis)Engaged,Q31_3,It is important to vote in local elections,,,Disagree,3,7,4,5,2,13,1,7,5
Alienated and (Dis)Engaged,Q31_3,It is important to vote in local elections,,,Strongly disagree,2,2,6,3,1,2,3,3,2
Alienated and (Dis)Engaged,Q31_3,It is important to vote in local elections,,,Don't know,2,2,2,3,,2,3,2,1
Alienated and (Dis)Engaged,Q31_4,"Politicians and government can seem so complicated, I find it hard to understand what is going on",,,Strongly agree,16,16,19,16,12,8,35,10,36
Alienated and (Dis)Engaged,Q31_4,"Politicians and government can seem so complicated, I find it hard to understand what is going on",,,Agree,30,35,35,31,28,24,65,24,64
Alienated and (Dis)Engaged,Q31_4,"Politicians and government can seem so complicated, I find it hard to understand what is going on",,,Neither agree nor disagree,24,26,24,23,25,34,0,37,0
Alienated and (Dis)Engaged,Q31_4,"Politicians and government can seem so complicated, I find it hard to understand what is going on",,,Disagree,17,15,12,16,24,23,0,19,0
Alienated and (Dis)Engaged,Q31_4,"Politicians and government can seem so complicated, I find it hard to understand what is going on",,,Strongly disagree,10,6,9,11,11,7,0,8,0
Alienated and (Dis)Engaged,Q31_4,"Politicians and government can seem so complicated, I find it hard to understand what is going on",,,Don't know,2,2,1,4,,4,0,2,0
Alienated and (Dis)Engaged,Q31_5,The government is rigged to advantage the rich and powerful,,,Strongly agree,33,30,37,33,32,25,50,20,53
Alienated and (Dis)Engaged,Q31_5,The government is rigged to advantage the rich and powerful,,,Agree,30,32,30,31,32,28,35,31,39
Alienated and (Dis)Engaged,Q31_5,The government is rigged to advantage the rich and powerful,,,Neither agree nor disagree,24,24,21,21,24,28,13,29,6
Alienated and (Dis)Engaged,Q31_5,The government is rigged to advantage the rich and powerful,,,Disagree,7,8,5,6,8,9,0,11,2
Alienated and (Dis)Engaged,Q31_5,The government is rigged to advantage the rich and powerful,,,Strongly disagree,4,4,4,6,3,4,2,6,0
Alienated and (Dis)Engaged,Q31_5,The government is rigged to advantage the rich and powerful,,,Don't know,2,4,3,2,1,6,0,4,1
Alienated and (Dis)Engaged,Q31_6,People like me can’t change what is happening in the government so there is no point in trying,,,Strongly agree,14,15,17,18,10,8,26,11,31
Alienated and (Dis)Engaged,Q31_6,People like me can’t change what is happening in the government so there is no point in trying,,,Agree,21,30,23,24,18,27,38,27,41
Alienated and (Dis)Engaged,Q31_6,People like me can’t change what is happening in the government so there is no point in trying,,,Neither agree nor disagree,25,29,28,23,23,32,16,33,19
Alienated and (Dis)Engaged,Q31_6,People like me can’t change what is happening in the government so there is no point in trying,,,Disagree,24,18,21,22,32,20,14,21,7
Alienated and (Dis)Engaged,Q31_6,People like me can’t change what is happening in the government so there is no point in trying,,,Strongly disagree,13,6,10,12,16,9,5,6,2
Alienated and (Dis)Engaged,Q31_6,People like me can’t change what is happening in the government so there is no point in trying,,,Don't know,3,2,2,2,1,4,1,2,0
Alienated and (Dis)Engaged,Q31_7,Politicians today are no longer able to meet the challenges our country is facing.,,,Strongly agree,25,22,25,24,23,12,38,16,50
Alienated and (Dis)Engaged,Q31_7,Politicians today are no longer able to meet the challenges our country is facing.,,,Agree,35,33,34,39,41,31,48,31,36
Alienated and (Dis)Engaged,Q31_7,Politicians today are no longer able to meet the challenges our country is facing.,,,Neither agree nor disagree,25,27,26,19,25,33,12,32,8
Alienated and (Dis)Engaged,Q31_7,Politicians today are no longer able to meet the challenges our country is facing.,,,Disagree,9,11,6,11,9,14,1,14,5
Alienated and (Dis)Engaged,Q31_7,Politicians today are no longer able to meet the challenges our country is facing.,,,Strongly disagree,4,3,5,4,2,3,0,4,1
Alienated and (Dis)Engaged,Q31_7,Politicians today are no longer able to meet the challenges our country is facing.,,,Don't know,3,4,4,4,,7,1,4,1
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Strongly agree,8,10,9,12,4,6,17,8,20
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Agree,18,24,15,22,17,17,19,25,37
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Neither agree nor disagree,19,23,19,19,18,27,14,27,11
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Disagree,22,22,26,23,29,24,19,24,14
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Strongly disagree,29,16,28,20,33,16,30,13,15
Alienated and (Dis)Engaged,Q31_8,The government is currently functioning as it was intended to,,,Don't know,3,5,3,5,,10,1,3,2
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Strongly agree,52,29,40,44,68,32,25,24,41
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Agree,25,35,30,29,22,33,46,33,35
Alienated and (Dis)Engaged,Q31_9,It is important to vote in federal elections,,,Neither agree nor disagree,14,24,19,18,7,18,24,29,19
