section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting,"Young men, no degree and not currently enrolled","Young men, college degree"
Degrees of Doubt,Q11,"Compared with 10 years ago, how important would you say it is for someone to have a four-year college degree in order to get a well-paying job?",,,More important today than 10 years ago,27,29,27,,,29,21,28,38,25,33
Degrees of Doubt,Q11,"Compared with 10 years ago, how important would you say it is for someone to have a four-year college degree in order to get a well-paying job?",,,Less important today than 10 years ago,37,39,40,,,36,48,39,36,44,33
Degrees of Doubt,Q11,"Compared with 10 years ago, how important would you say it is for someone to have a four-year college degree in order to get a well-paying job?",,,About as important,29,28,26,,,28,29,30,22,24,32
Degrees of Doubt,Q11,"Compared with 10 years ago, how important would you say it is for someone to have a four-year college degree in order to get a well-paying job?",,,I don't know [ANCHOR],7,5,7,,,7,3,4,5,7,2
Degrees of Doubt,Q9_3,Which of the following statements comes closest to your views?,,,"In 10 years, a college degree will be necessary to get a good job",46,50,45,,,53,40,51,48,42,58
Degrees of Doubt,Q9_3,Which of the following statements comes closest to your views?,,,"In 10 years, a college degree will not be as important for getting a good job.",54,50,55,,,47,60,49,52,58,42
Degrees of Doubt,Q9_4,Which of the following statements comes closest to your views?,,,A college education is a questionable investment because of high student loans and limited job opportunities,51,53,57,,,49,64,51,59,63,42
Degrees of Doubt,Q9_4,Which of the following statements comes closest to your views?,,,A college education is still the best investment for people who want to get ahead and succeed,49,47,43,,,51,36,49,41,37,58
Degrees of Doubt,Q10_12,Colleges are stuck in the past and are not aligning with the needs of the future workplace.,,,Strongly agree,17,17,18,,,10,23,13,38,17,17
Degrees of Doubt,Q10_12,Colleges are stuck in the past and are not aligning with the needs of the future workplace.,,,Somewhat agree,31,38,34,,,39,37,38,33,35,40
Degrees of Doubt,Q10_12,Colleges are stuck in the past and are not aligning with the needs of the future workplace.,,,Somewhat disagree,24,26,22,,,31,25,25,19,27,25
Degrees of Doubt,Q10_12,Colleges are stuck in the past and are not aligning with the needs of the future workplace.,,,Strongly disagree,16,11,13,,,11,8,14,7,10,13
Degrees of Doubt,Q10_12,Colleges are stuck in the past and are not aligning with the needs of the future workplace.,,,Don't know,12,8,12,,,10,7,9,3,11,5
Degrees of Doubt,Q9_1,Which of the following statements comes closest to your views?,,,Colleges and universities mostly care about making money,55,58,64,,,53,68,58,64,60,56
Degrees of Doubt,Q9_1,Which of the following statements comes closest to your views?,,,Colleges and universities mostly care about educating their students,45,42,36,,,47,32,42,36,40,44
Degrees of Doubt,Q10_6,Colleges in the United States are designed to benefit women more than men,,,Strongly agree,9,13,9,,,11,12,12,20,10,17
Degrees of Doubt,Q10_6,Colleges in the United States are designed to benefit women more than men,,,Somewhat agree,16,25,18,,,17,21,29,33,26,24
Degrees of Doubt,Q10_6,Colleges in the United States are designed to benefit women more than men,,,Somewhat disagree,26,25,26,,,26,25,27,17,26,23
Degrees of Doubt,Q10_6,Colleges in the United States are designed to benefit women more than men,,,Strongly disagree,35,24,33,,,28,33,22,18,24,25
Degrees of Doubt,Q10_6,Colleges in the United States are designed to benefit women more than men,,,Don't know,14,13,15,,,17,9,11,12,14,11
Degrees of Doubt,Q10_1,Men should have jobs that require physical labor,,,Strongly agree,11,15,12,,,11,19,11,32,15,15
Degrees of Doubt,Q10_1,Men should have jobs that require physical labor,,,Somewhat agree,21,28,21,,,23,27,32,27,29,28
Degrees of Doubt,Q10_1,Men should have jobs that require physical labor,,,Somewhat disagree,28,31,30,,,33,29,33,22,30,32
Degrees of Doubt,Q10_1,Men should have jobs that require physical labor,,,Strongly disagree,29,18,28,,,22,22,15,14,16,20
Degrees of Doubt,Q10_1,Men should have jobs that require physical labor,,,Don't know,10,7,9,,,11,3,8,5,9,5
Degrees of Doubt,Q10_11,"Colleges push liberal political views, and those with opposing views are not welcome.",,,Strongly agree,21,20,17,,,16,23,18,32,19,20
