section,qId,question,sId,subpart,response,All Respondents,Young men,Young women,Men 35-54,Men 55+,Relational/trusting,Relational/distrusting,Self-driven/trusting,Self-driven/distrusting
The Expectations Gap,Q24_10,Society has mostly positive views of men that are masculine,,,Strongly agree,25,23,28,26,20,16,24,25,32
The Expectations Gap,Q24_10,Society has mostly positive views of men that are masculine,,,Somewhat agree,42,40,39,40,52,41,44,42,34
The Expectations Gap,Q24_10,Society has mostly positive views of men that are masculine,,,Somewhat disagree,17,17,19,19,14,21,10,16,19
The Expectations Gap,Q24_10,Society has mostly positive views of men that are masculine,,,Strongly disagree,8,11,6,8,5,13,15,9,9
The Expectations Gap,Q24_10,Society has mostly positive views of men that are masculine,,,Don't know,8,8,8,7,9,10,6,8,6
The Expectations Gap,Q24_1,I've felt pressure to act more masculine,,,Strongly agree,12,21,,13,5,17,32,16,36
The Expectations Gap,Q24_1,I've felt pressure to act more masculine,,,Somewhat agree,24,34,,26,14,30,38,36,36
The Expectations Gap,Q24_1,I've felt pressure to act more masculine,,,Somewhat disagree,29,22,,29,33,26,17,25,11
The Expectations Gap,Q24_1,I've felt pressure to act more masculine,,,Strongly disagree,32,17,,29,45,20,18,16,15
The Expectations Gap,Q24_1,I've felt pressure to act more masculine,,,Don't know,4,6,,3,3,8,6,7,2
The Expectations Gap,Q24_2,I've felt pressure to act less masculine,,,Strongly agree,10,14,,12,5,10,11,13,26
The Expectations Gap,Q24_2,I've felt pressure to act less masculine,,,Somewhat agree,18,24,,20,12,19,27,24,29
The Expectations Gap,Q24_2,I've felt pressure to act less masculine,,,Somewhat disagree,24,27,,24,21,28,14,32,16
The Expectations Gap,Q24_2,I've felt pressure to act less masculine,,,Strongly disagree,43,30,,38,57,34,46,26,27
The Expectations Gap,Q24_2,I've felt pressure to act less masculine,,,Don't know,5,6,,5,5,9,3,5,3
The Expectations Gap,Q25,Where do you believe the majority of the pressure on men to act more or less traditionally masculine comes from?,,,Mostly from society in general,55,55,60,49,52,58.7,69,50,51
The Expectations Gap,Q25,Where do you believe the majority of the pressure on men to act more or less traditionally masculine comes from?,,,Mostly from men,17,20,16,21,16,16,8,22,29
The Expectations Gap,Q25,Where do you believe the majority of the pressure on men to act more or less traditionally masculine comes from?,,,Mostly from women,13,15,15,17,11,14.1,17,16,15
The Expectations Gap,Q25,Where do you believe the majority of the pressure on men to act more or less traditionally masculine comes from?,,,There is no pressure on men to act a certain way [ANCHOR],15,10,9,13,22,11.1,6,12,6
The Expectations Gap,Q24_3,Women have unrealistic expectations of men,,,Strongly agree,20,31,17,30,13,23.9,36,28,51
The Expectations Gap,Q24_3,Women have unrealistic expectations of men,,,Somewhat agree,34,39,31,35,36,39.9,39,41,31
The Expectations Gap,Q24_3,Women have unrealistic expectations of men,,,Somewhat disagree,23,17,28,16,27,18.5,13,19,12
The Expectations Gap,Q24_3,Women have unrealistic expectations of men,,,Strongly disagree,16,8,19,13,13,9.2,8,8,4
