	All Respondents	Young men	Young women	Men 35-54	Men 55+	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Q31_1. Politicians don’t care what people like me think									
Strongly agree	29	27	30	31	31	22%	50%	16%	53%
Agree	34	35	35	34	39	27%	50%	33%	47%
Neither agree nor disagree	23	22	25	23	15	29%	0%	30%	0%
Disagree	9	9	7	8	11	13%	0%	12%	0%
Strongly disagree	3	3	2	3	3	4%	0%	5%	0%
Don't know	2	2	2	1	*	5%	0%	4%	0%
Q31_2. Politicians in Washington cannot be trusted to put the interests of the country ahead of the interests of their party									
Strongly agree	35	28	28	32	43	18%	57%	20%	49%
Agree	33	30	31	36	36	23%	43%	24%	51%
Neither agree nor disagree	21	27	26	23	15	33%	0%	38%	0%
Disagree	5	8	5	5	3	12%	0%	11%	0%
Strongly disagree	3	3	3	2	2	4%	0%	4%	0%
Don't know	3	5	7	2	1	10%	0%	4%	0%
Q31_3. It is important to vote in local elections									
Strongly agree	50	32	37	43	60	33%	30%	27%	43%
Agree	29	34	32	30	28	32%	43%	34%	34%
Neither agree nor disagree	14	22	20	16	7	18%	20%	28%	16%
Disagree	3	7	4	5	2	13%	1%	7%	5%
Strongly disagree	2	2	6	3	1	2%	3%	3%	2%
Don't know	2	2	2	3	*	2%	3%	2%	1%
Q31_4. Politicians and government can seem so complicated, I find it hard to understand what is going on									
Strongly agree	16	16	19	16	12	8%	35%	10%	36%
Agree	30	35	35	31	28	24%	65%	24%	64%
Neither agree nor disagree	24	26	24	23	25	34%	0%	37%	0%
Disagree	17	15	12	16	24	23%	0%	19%	0%
Strongly disagree	10	6	9	11	11	7%	0%	8%	0%
Don't know	2	2	1	4	*	4%	0%	2%	0%
Q31_5. The government is rigged to advantage the rich and powerful									
Strongly agree	33	30	37	33	32	25%	50%	20%	53%
Agree	30	32	30	31	32	28%	35%	31%	39%
Neither agree nor disagree	24	24	21	21	24	28%	13%	29%	6%
Disagree	7	8	5	6	8	9%	0%	11%	2%
Strongly disagree	4	4	4	6	3	4%	2%	6%	0%
Don't know	2	4	3	2	1	6%	0%	4%	1%
Q31_6. People like me can’t change what is happening in the government so there is no point in trying									
Strongly agree	14	15	17	18	10	8%	26%	11%	31%
Agree	21	30	23	24	18	27%	38%	27%	41%
Neither agree nor disagree	25	29	28	23	23	32%	16%	33%	19%
Disagree	24	18	21	22	32	20%	14%	21%	7%
