	All Respondents	Young men	Young women	Young men, no degree and not currently enrolled	Young men, college degree	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Q11. Compared with 10 years ago, how important would you say it is for someone to have a four-year college degree in order to get a well-paying job?									
More important today than 10 years ago	27	29	27	25	33	29%	21%	28%	38%
Less important today than 10 years ago	37	39	40	44	33	36%	48%	39%	36%
About as important	29	28	26	24	32	28%	29%	30%	22%
I don't know [ANCHOR]	7	5	7	7	2	7%	3%	4%	5%
Q9_3. Which of the following statements comes closest to your views?									
In 10 years, a college degree will be necessary to get a good job	46	50	45	42	58	53%	40%	51%	48%
In 10 years, a college degree will not be as important for getting a good job.	54	50	55	58	42	47%	60%	49%	52%
Q9_4. Which of the following statements comes closest to your views?									
A college education is a questionable investment because of high student loans and limited job opportunities	51	53	57	63	42	49%	64%	51%	59%
A college education is still the best investment for people who want to get ahead and succeed	49	47	43	37	58	51%	36%	49%	41%
Q10_12. Colleges are stuck in the past and are not aligning with the needs of the future workplace.									
Strongly agree	17	17	18	17	17	10%	23%	13%	38%
Somewhat agree	31	38	34	35	40	39%	37%	38%	33%
Somewhat disagree	24	26	22	27	25	31%	25%	25%	19%
Strongly disagree	16	11	13	10	13	11%	8%	14%	7%
Don't know 	12	8	12	11	5	10%	7%	9%	3%
Q9_1. Which of the following statements comes closest to your views?									
Colleges and universities mostly care about making money	55	58	64	60	56	53%	68%	58%	64%
Colleges and universities mostly care about educating their students	45	42	36	40	44	47%	32%	42%	36%
Q10_6. Colleges in the United States are designed to benefit women more than men									
Strongly agree	9	13	9	10	17	11%	12%	12%	20%
Somewhat agree	16	25	18	26	24	17%	21%	29%	33%
Somewhat disagree	26	25	26	26	23	26%	25%	27%	17%
Strongly disagree	35	24	33	24	25	28%	33%	22%	18%
Don't know 	14	13	15	14	11	17%	9%	11%	12%
Q10_1. Men should have jobs that require physical labor									
Strongly agree	11	15	12	15	15	11%	19%	11%	32%
Somewhat agree	21	28	21	29	28	23%	27%	32%	27%
Somewhat disagree	28	31	30	30	32	33%	29%	33%	22%
Strongly disagree	29	18	28	16	20	22%	22%	15%	14%
Don't know 	10	7	9	9	5	11%	3%	8%	5%
Q10_11. Colleges push liberal political views, and those with opposing views are not welcome.									
Strongly agree	21	20	17	19	20	16%	23%	18%	32%
Somewhat agree	26	30	26	30	31	27%	30%	31%	36%
Somewhat disagree	18	23	20	22	25	24%	17%	28%	14%
Strongly disagree	22	15	25	13	18	18%	20%	15%	9%
Don't know 	13	11	13	15	6	15%	10%	9%	10%
Q10_3. It is now more socially acceptable for men to choose not to pursue a college degree than it was a few years ago.									
Strongly agree	20	25	22	22	28	23%	24%	20%	43%
Somewhat agree	40	42	40	40	44	42%	50%	41%	37%
Somewhat disagree	16	16	17	16	16	14%	9%	23%	7%
Strongly disagree	9	7	8	8	7	6%	6%	9%	5%
Don't know 	15	10	13	14	6	15%	12%	7%	7%
Q10_7. Technology and social media are making it easier for people to be successful without a college degree									
Strongly agree	30	37	37	36	38	33%	49%	35%	43%
Somewhat agree	43	41	41	39	44	43%	42%	41%	38%
Somewhat disagree	13	11	13	10	12	11%	5%	13%	11%
Strongly disagree	6	6	4	7	4	6%	3%	7%	4%
Don't know 	7	4	4	7	1	7%	1%	4%	5%
Q12. In general, how likely is it that someone who has the following could get a well-paying job in today’s economy?									
Q12_1. Master’s degree, PhD or other post graduate degrees									
Very likely 	53	56	54	52	60	56%	74%	53%	54%
Somewhat likely	31	27	27	27	27	26%	19%	29%	29%
Not too likley 	8	9	11	11	7	11%	4%	8%	10%
Not at all likely	3	5	4	6	4	3%	4%	7%	3%
Don't know 	5	3	4	4	2	4%	0%	3%	4%
Q12_2. Bachelor's degree from a 4-year college									
Very likely 	40	42	43	42	43	41%	43%	43%	42%
Somewhat likely	43	40	38	37	44	42%	49%	37%	40%
Not too likley 	8	10	10	11	9	11%	4%	11%	10%
Not at all likely	3	4	6	5	2	2%	4%	6%	4%
Don't know 	5	3	3	4	2	5%	0%	3%	4%
Q12_3. Associate degree from a 2-year college									
Very likely 	27	27	26	28	26	21%	33%	27%	35%
Somewhat likely	49	46	45	48	44	53%	50%	42%	44%
Not too likley 	15	18	17	13	24	19%	13%	20%	14%
Not at all likely	4	4	7	4	5	2%	1%	7%	4%
Don't know 	5	4	5	6	1	6%	3%	3%	2%
Q12_4. Diploma or certificate from a trade school									
Very likely 	43	37	38	38	36	36%	46%	33%	45%
Somewhat likely	42	44	44	42	46	47%	45%	43%	43%
Not too likley 	7	10	10	11	9	10%	5%	13%	7%
Not at all likely	3	4	6	4	5	3%	2%	7%	2%
Don't know 	5	4	3	5	4	5%	2%	5%	3%
Q12_5. High school diploma									
Very likely 	24	28	28	31	25	23%	36%	27%	37%
Somewhat likely	34	36	34	40	32	43%	37%	34%	30%
Not too likley 	30	25	26	22	29	29%	25%	26%	19%
Not at all likely	7	7	7	4	11	4%	2%	10%	10%
Don't know 	4	1	5	3	2	2%	0%	3%	4%
Q6. How much pressure did you feel from each of the following to pursue a college degree?									
Q6_1. Your mother or female guardian									
A lot	31	39	42	30	43	33%	42%	31%	52%
Some	25	28	26	25	31	26%	22%	31%	23%
Not much	13	17	12	19	14	23%	19%	15%	9%
Not at all	26	15	14	20	9	12%	15%	18%	10%
I don't remember	2	3	2	4	2	5%	1%	3%	2%
I didn't have someone like this in my life	3	2	4	3	2	2%	1%	2%	4%
Q6_2. Your father or male guardian									
A lot	26	30	29	21	39	25%	35%	27%	45%
Some	24	26	25	24	27	25%	19%	28%	25%
Not much	13	18	16	20	15	23%	17%	17%	10%
Not at all	28	19	20	24	14	18%	19%	21%	14%
I don't remember	3	2	4	3	2	3%	0%	3%	1%
I didn't have someone like this in my life	7	6	8	8	3	7%	12%	4%	6%
Q6_3. Your high school teachers									
A lot	22	27	28	25	28	27%	31%	23%	33%
Some	30	32	29	30	35	33%	35%	32%	30%
Not much	16	21	21	20	21	20%	13%	22%	22%
Not at all	25	15	17	17	12	11%	14%	17%	13%
I don't remember	4	3	3	5	2	6%	4%	2%	1%
