	All Respondents	Young men	Young women	Men 35-54	Men 55+	Relational/trusting	Relational/distrusting	Self-driven/trusting	Self-driven/distrusting
Q24_10 Society has mostly positive views of men that are masculine									
Strongly agree	25	23	28	26	20	16	24%	25%	32%
Somewhat agree	42	40	39	40	52	41	44%	42%	34%
Somewhat disagree	17	17	19	19	14	21	10%	16%	19%
Strongly disagree	8	11	6	8	5	13	15%	9%	9%
Don't know 	8	8	8	7	9	10	6%	8%	6%
Q20. Which of the following THREE traits do you believe SOCIETY most values in men today?									
Masculine	25	32	34	22	16				
Physically fit	23	26	29	20	16				
Responsible	21	18	16	18	27				
Confident	21	19	21	24	16				
Dependable	20	17	14	21	28				
Intelligent	17	15	14	16	24				
Respectful	17	16	17	19	17				
Honest	17	15	10	17	30				
Assertive	15	13	19	9	15				
Motivated	15	13	9	15	11				
Competitive	14	11	15	13	12				
Independent	13	16	17	16	12				
Sociable	11	11	11	13	12				
Self-controlled	10	10	10	12	12				
Thoughtful	8	8	6	7	9				
Emotionally expressive	8	8	9	6	8				
Empathetic	8	9	9	9	8				
Resilient	8	9	10	7	6				
Creative	6	7	6	9	6				
Stoic	5	8	8	5	3				
Self-aware	5	9	6	5	3				
Q19. Which of the following THREE traits do YOU believe are most important for men to have today?									
Respectful	35	28	38	36	32				
Honest	33	24	29	26	45				
Responsible	31	23	23	25	37				
Dependable	26	15	14	24	37				
Intelligent	19	20	19	19	19				
Confident	17	21	12	18	19				
Motivated	14	17	16	12	15				
Self-controlled	14	17	17	13	11				
Empathetic	14	12	21	12	9				
Thoughtful	13	12	12	10	13				
Independent	12	15	12	17	11				
Masculine	10	12	8	14	10				
Self-aware	10	15	17	11	6				
Emotionally expressive	8	8	13	4	2				
Physically fit	7	11	7	10	7				
Resilient	7	9	8	11	6				
Creative	7	10	7	7	6				
Sociable	6	6	5	7	6				
Assertive	4	5	5	5	3				
Competitive	4	6	4	3	2				
Stoic	2	5	2	3	1				
Q24_1. I've felt pressure to act more masculine									
Strongly agree	12	21	NA	13	5	17	32%	16%	36%
Somewhat agree	24	34	NA	26	14	30	38%	36%	36%
Somewhat disagree	29	22	NA	29	33	26	17%	25%	11%
Strongly disagree	32	17	NA	29	45	20	18%	16%	15%
Don't know 	4	6	NA	3	3	8	6%	7%	2%
Q24_2. I've felt pressure to act less masculine									
Strongly agree	10	14	NA	12	5	10	11%	13%	26%
Somewhat agree	18	24	NA	20	12	19	27%	24%	29%
Somewhat disagree	24	27	NA	24	21	28	14%	32%	16%
Strongly disagree	43	30	NA	38	57	34	46%	26%	27%
Don't know 	5	6	NA	5	5	9	3%	5%	3%
Q25. Where do you believe the majority of the pressure on men to act more or less traditionally masculine comes from?									
