table,trait,All Americans,Men 18-34,Women 18-34,Men 35-54,Men 55+,Relational,Self-driven
society_believes,Assertive,0.15,0.13,0.19,0.09,0.15,0.11,0.14
society_believes,Competitive,0.14,0.11,0.15,0.13,0.12,0.10,0.12
society_believes,Confident,0.21,0.19,0.21,0.24,0.16,0.20,0.19
society_believes,Creative,0.06,0.07,0.06,0.09,0.06,0.07,0.07
society_believes,Dependable,0.20,0.17,0.14,0.21,0.28,0.16,0.18
society_believes,Emotionally expressive,0.08,0.08,0.09,0.06,0.08,0.07,0.10
society_believes,Empathetic,0.08,0.09,0.09,0.09,0.08,0.08,0.10
society_believes,Honest,0.17,0.15,0.10,0.17,0.30,0.17,0.13
society_believes,Independent,0.13,0.16,0.17,0.16,0.12,0.16,0.16
society_believes,Intelligent,0.17,0.15,0.14,0.16,0.24,0.18,0.13
society_believes,Masculine,0.25,0.32,0.34,0.22,0.16,0.37,0.29
society_believes,Motivated,0.15,0.13,0.09,0.15,0.11,0.10,0.15
society_believes,Physically fit,0.23,0.26,0.29,0.20,0.16,0.29,0.24
society_believes,Resilient,0.08,0.09,0.10,0.07,0.06,0.08,0.10
society_believes,Respectful,0.17,0.16,0.17,0.19,0.17,0.18,0.15
society_believes,Responsible,0.21,0.18,0.16,0.18,0.27,0.20,0.16
society_believes,Self-aware,0.05,0.09,0.06,0.05,0.03,0.09,0.09
society_believes,Self-controlled,0.10,0.10,0.10,0.12,0.12,0.08,0.11
society_believes,Sociable,0.11,0.11,0.11,0.13,0.12,0.09,0.12
society_believes,Stoic,0.05,0.08,0.08,0.05,0.03,0.09,0.08
society_believes,Thoughtful,0.08,0.08,0.06,0.07,0.09,0.06,0.09
they_believe,Assertive,0.04,0.05,0.05,0.05,0.03,0.00,0.09
they_believe,Competitive,0.04,0.06,0.04,0.03,0.02,0.01,0.09
they_believe,Confident,0.17,0.21,0.12,0.18,0.19,0.22,0.20
they_believe,Creative,0.07,0.10,0.07,0.07,0.06,0.04,0.13
they_believe,Dependable,0.26,0.15,0.14,0.24,0.37,0.24,0.09
they_believe,Emotionally expressive,0.08,0.08,0.13,0.04,0.02,0.08,0.08
they_believe,Empathetic,0.14,0.12,0.21,0.12,0.09,0.16,0.09
they_believe,Honest,0.33,0.24,0.29,0.26,0.45,0.45,0.11
they_believe,Independent,0.12,0.15,0.12,0.17,0.11,0.10,0.18
they_believe,Intelligent,0.19,0.20,0.19,0.19,0.19,0.14,0.24
they_believe,Masculine,0.10,0.12,0.08,0.14,0.10,0.09,0.14
they_believe,Motivated,0.14,0.17,0.16,0.12,0.15,0.10,0.21
they_believe,Physically fit,0.07,0.11,0.07,0.10,0.07,0.01,0.18
they_believe,Resilient,0.07,0.09,0.08,0.11,0.06,0.02,0.13
they_believe,Respectful,0.35,0.28,0.38,0.36,0.32,0.58,0.09
they_believe,Responsible,0.31,0.23,0.23,0.25,0.37,0.42,0.11
they_believe,Self-aware,0.10,0.15,0.17,0.11,0.06,0.05,0.21
they_believe,Self-controlled,0.14,0.17,0.17,0.13,0.11,0.09,0.23
they_believe,Sociable,0.06,0.06,0.05,0.07,0.06,0.00,0.11
they_believe,Stoic,0.02,0.05,0.02,0.03,0.01,0.00,0.09
they_believe,Thoughtful,0.13,0.12,0.12,0.10,0.13,0.12,0.11
